Symbol,Description,Industry,Sector,Exchange,Index,Market capitalization,Market capitalization - Currency,Price,Price - Currency,Pre-market Open,Pre-market Open - Currency,Pre-market Change,Pre-market Change - Currency,Pre-market Change %,Pre-market Gap %,Float shares outstanding,Volume 1 day,Volume 1 week,Pre-market Volume,Average Volume 10 days,Average Volume 30 days,Average Volume 90 days,Volatility 1 day,Volatility 1 week,Volatility 1 month,Volume Weighted Average Price 1 day,Price to earnings ratio,Relative Volume at Time,Relative Volume 1 day,Beta 1 year,Beta 3 years,Beta 5 years,Relative Volume 1 minute,Relative Volume 5 minutes,Relative Volume 15 minutes,Relative Volume 30 minutes,Relative Volume 1 hour,Relative Volume 2 hours,Relative Volume 4 hours,Relative Volume 1 week,Relative Volume 1 month,High 1 month,High 1 month - Currency,High 3 months,High 3 months - Currency,High 6 months,High 6 months - Currency,High 52 weeks,High 52 weeks - Currency,High All Time,High All Time - Currency,High 5 minutes,High 5 minutes - Currency,High 15 minutes,High 15 minutes - Currency,High 30 minutes,High 30 minutes - Currency,High 1 hour,High 1 hour - Currency,High 2 hours,High 2 hours - Currency,High 4 hours,High 4 hours - Currency,High 1 day,High 1 day - Currency,High 1 week,High 1 week - Currency,High 1 month,High 1 month - Currency,"Revenue per employee, Annual","Revenue per employee, Annual - Currency",Simple Moving Average (5) 1 minute,Simple Moving Average (8) 1 minute,Simple Moving Average (5) 5 minutes,Simple Moving Average (13) 5 minutes,"Bollinger Bands (20) 1 minute, Upper","Bollinger Bands (20) 1 minute, Basis","Bollinger Bands (20) 1 minute, Lower","Bollinger Bands (20) 5 minutes, Upper","Bollinger Bands (20) 5 minutes, Basis","Bollinger Bands (20) 5 minutes, Lower",International Securities Identification Number,Relative Volume 1 day,Recent earnings date,Upcoming earnings date,Analyst Rating,Target price 1 year,Target price 1 year - Currency,Technical Rating 5 minutes
AAPL,Apple Inc.,Telecommunications equipment,Electronic technology,NASDAQ,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, S&P 500 Information Technology, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Composite Average, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG, NASDAQ CB Insights Metaverse US Index",3858616263615,USD,255.27,USD,255.05,USD,0.28999999999999204,USD,0.11360520233477966,-0.08618325694362787,15102558559.2,40858569,40858774,11382,55711344.59999931,47610992.03333382,47854098.93333312,0.8680213059775171,2.18074965931627,1.5104042802260076,254.79,42.05505856768646,0.8582060100928581,0.728441249482815,0.8869071,1.221161,1.2278981,5.013889910020982,7.663039189460985,5.4226683252053,3.38559499919178,1.0670066751100697,0.5058029670929809,0.5412749375248669,0.18085356263665758,0.6622190494070477,255.65,USD,255.65,USD,255.65,USD,255.65,USD,255.65,USD,255.65,USD,255.65,USD,255.65,USD,255.65,USD,255.65,USD,255.65,USD,255.65,USD,255.65,USD,255.65,USD,2384359.75609756,USD,255.3688400000007,255.3198999999997,254.96499999999938,254.42719230769222,255.59556976289124,255.04320999999936,254.49085023710748,255.19040883751978,254.32624500000006,253.46208116248033,US0378331005,0.728441249482815,2024-10-31,2025-01-30,Buy,247.575909,USD,Buy
GOOGL,Alphabet Inc.,Internet software/Services,Technology services,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG, NASDAQ CB Insights Metaverse US Index",2389992133148.0005,USD,194.63,USD,194.5,USD,0.45000000000001705,USD,0.23120793300108775,-0.06679340286697603,5823490223,25674864,25675014,7898,42667537.20000002,31664709.533333346,26812527.67777777,2.6032079936891868,3.4895801008046616,2.3648020667822705,193.29333333333332,25.818133580951116,0.6104680315416813,0.6021448821545093,0.99426097,0.9357299,1.012263,4.75113256882366,6.640269582171483,7.374144906780561,3.997424230042462,1.482664060022652,0.7085234289344369,0.5671523729861228,0.17588790033876253,1.0057703262578017,201.42,USD,201.42,USD,201.42,USD,201.42,USD,201.42,USD,195.1,USD,195.1,USD,195.1,USD,195.1,USD,195.1,USD,195.1,USD,195.1,USD,195.1,USD,201.42,USD,1683033.6105905701,USD,194.81399999999948,194.7825000000001,194.42909999999986,194.23080769230853,195.13757431241044,194.58802500000044,194.03847568759045,194.81476785366863,194.31978564999955,193.82480344633046,US02079K3059,0.6021448821545093,2024-10-29,2025-02-04,Buy,210.789474,USD,Buy
GOOG,Alphabet Inc.,Internet software/Services,Technology services,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG",2389992133148,USD,195.99,USD,195.86,USD,0.6699999999999875,USD,0.3418541762334749,-0.06632991479156868,5140798232,15235752,15235942,4163,29161570.99999994,21429957.433333382,18787603.300000012,2.53613734801441,3.5003506419543267,2.3378155177714395,194.70333333333335,25.998540823771307,0.5599460218519163,0.514256185783088,0.9877648,0.92969555,1.0178709,6.16457400575801,6.292512850687643,4.491788761192978,2.068737388912413,0.7315301306913278,0.34427581675294316,0.3924436531572941,0.15302839387673478,0.9573017487067144,202.88,USD,202.88,USD,202.88,USD,202.88,USD,202.88,USD,196.49,USD,196.49,USD,196.49,USD,196.49,USD,196.49,USD,196.49,USD,196.49,USD,196.49,USD,202.88,USD,1683033.6105905701,USD,196.18799999999993,196.16623750000048,195.87248000000025,195.70633846153862,196.4960583636266,196.02211009999976,195.54816183637294,196.22543726339083,195.78943499999994,195.35343273660905,US02079K1079,0.514256185783088,2024-10-29,2025-02-04,Buy,210.410714,USD,Buy
AMZN,"Amazon.com, Inc.",Internet retail,Retail trade,NASDAQ,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, S&P 500 Consumer Discretionary, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, NASDAQ Industrials, NASDAQ CB Insights Metaverse US Index",2366508291965,USD,225.06,USD,225.05,USD,0.1699999999999875,USD,0.07553541277880899,-0.004443259575220343,9386803590,28069919,28070007,6451,39660591.000000015,40839143.93333335,37679103.26666668,1.330951317552474,2.6887390829441182,2.0972266089879317,225.28,48.23299972139474,0.6067256258249898,0.675804915710801,1.4126666,1.4171846,1.1621968,8.098369639676669,7.379548725248722,4.199735997018382,2.442438231316929,0.8349581100496568,0.36410256270527336,0.4182173368134276,0.14165932113392093,0.7536668868379962,233,USD,233,USD,233,USD,233,USD,233,USD,225.475,USD,225.7,USD,225.7,USD,225.7,USD,225.7,USD,226.33,USD,226.88,USD,226.88,USD,233,USD,376908.19672131096,USD,225.12000000000057,225.12437499999984,225.25902000000005,225.24886153846194,225.7478932037233,225.33438000000032,224.92086679627735,226.1897416771619,225.44325999999978,224.69677832283767,US0231351067,0.675804915710801,2024-10-31,2025-01-30,Strong buy,243.328571,USD,Sell
META,"Meta Platforms, Inc.",Internet software/Services,Technology services,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, NASDAQ CB Insights Metaverse US Index",1514021777721.9998,USD,599.85,USD,602,USD,2.5799999999999272,USD,0.4301075268817083,0.3584229390680965,2173237640,10205637,10205750,2511,15271515,12985925.5,12188457.266666668,2.701918976545848,3.4130219936810873,2.636101606686193,595.73,28.24884033059408,0.8711275984479996,0.6629812579718438,1.1258317,1.1838629,1.195832,3.1375375040293583,7.381475793705872,5.875825134639107,2.688890781485789,0.6423958157262101,0.3412617264859742,0.37904245102712264,0.16160982658687228,0.7485509686806343,638.4,USD,638.4,USD,638.4,USD,638.4,USD,638.4,USD,601.09,USD,601.09,USD,601.09,USD,601.09,USD,601.09,USD,601.09,USD,601.09,USD,601.09,USD,638.4,USD,2003981.1637476399,USD,600.42,600.0549999999995,599.172320000002,598.3173230769208,600.95016089702,599.5380050000009,598.1258491029818,600.5185597775304,598.6755999999993,596.8326402224683,US30303M1027,0.6629812579718438,2024-10-30,2025-01-29,Buy,663.534667,USD,Buy
TSLA,"Tesla, Inc.",Motor vehicles,Consumer durables,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Consumer Discretionary, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, NASDAQ Industrials, S&P 500 ESG, NASDAQ Clean Edge Green Energy",1382251775696,USD,430.6,USD,435.22,USD,3.6200000000000045,USD,0.8406874129122166,1.072921504876917,2795265676.98,72694373,72698055,121605,109672779.2000002,98399145.49999991,88218134.73333335,4.597565015098289,8.09919417816407,5.172100416966478,426.84040000000005,117.95967565198336,0.666752000732377,0.6488294685190125,2.3203409,1.8168627,2.3621492,3.51797140024649,1.9567163392161773,1.8962277840963786,1.2063017942868448,0.43567095640902015,0.2049847939516345,0.2916851772748278,0.1544161051980319,0.7850031608295843,488.5399,USD,488.5399,USD,488.5399,USD,488.5399,USD,488.5399,USD,431.25,USD,431.25,USD,431.25,USD,431.25,USD,431.25,USD,434.1559,USD,434.51,USD,434.51,USD,488.5399,USD,688908.188762253,USD,430.26571999999953,430.253574999999,430.13856000000044,429.45977692307645,431.11032369190565,430.0989400000003,429.087556308095,434.8368720165164,430.65606000000105,426.4752479834857,US88160R1014,0.6488294685190125,2024-10-23,2025-01-22,Neutral,296.134186,USD,Buy
AVGO,Broadcom Inc.,Semiconductors,Electronic technology,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, PHLX Semiconductor Sector, S&P 500 Information Technology, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, NASDAQ CB Insights Metaverse US Index",1089107185225.9998,USD,232.35,USD,235.17,USD,4.200000000000017,USD,1.80761781794707,1.213686249193025,4576341707.339999,40643550,40643778,109229,68672608.3,36205625.8,28304126.2,5.600941678141528,5.360521715922306,4.309403703618664,230.29313333333334,190.59141989992617,0.6905898373389149,0.6093770455884477,3.1671443,1.3004452,1.1468645,5.599516567361174,4.1793510677122025,2.7821746720206777,1.7190053360552442,0.6088707144882,0.33484492240100316,0.40418356282073875,0.286820353050247,1.3436862965397667,251.88,USD,251.88,USD,251.88,USD,251.88,USD,251.88,USD,232.565,USD,232.9,USD,232.9,USD,232.9,USD,232.9,USD,233.3994,USD,233.3994,USD,233.3994,USD,251.88,USD,1393891.89189189,USD,232.31899999999996,232.3000000000001,232.2993622000002,231.61077007692322,232.82122283905136,232.37539390000057,231.9295649609498,233.29167435184402,231.65575054999945,230.01982674815488,US11135F1012,0.6093770455884477,2024-12-12,2025-02-27,Strong buy,243.778571,USD,Buy
BRK.B,Berkshire Hathaway Inc. New,Property/Casualty insurance,Finance,NYSE,"S&P 500, S&P 100, Russell 3000, S&P 500 Financials, Russell 1000",980027438018.9999,USD,454.35,USD,454.66,USD,0.2999999999999545,USD,0.06602839220863971,0.0682293386156052,1323227863.05,3836007,3836007,424,4892956.1,4303099.866666666,3993878.933333333,1.0515317238006354,1.7100469198984394,1.383511044999048,452.9066666666667,9.177415901461197,0.7458350641439149,0.785395478968034,0.32915887,0.87612,0.8708915,11.44350278580415,7.72333164081832,5.1409934987525965,3.326585633339426,1.0477339563534136,0.45363567818842343,0.4867631154176774,0.19065690522985898,0.9558618659067991,491.67,USD,491.67,USD,491.67,USD,491.67,USD,491.67,USD,454.55,USD,454.55,USD,454.55,USD,454.55,USD,454.55,USD,454.55,USD,454.55,USD,454.55,USD,485.09,USD,919248.42370744,USD,454.25999999999976,454.27687500000144,453.6784000000001,452.8726846153817,454.7929984767532,453.89937499999826,453.0057515232433,454.00756778568785,452.6230349999988,451.2385022143098,US0846707026,0.785395478968034,2024-11-02,2025-02-24,Buy,508.75,USD,Buy
JPM,JP Morgan Chase & Co.,Major banks,Finance,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 100, KBW NASDAQ Bank, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, NYSE Arca Major Market",671149038234.9999,USD,238.39,USD,240.93,USD,0.8300000000000125,USD,0.34816896681908327,1.0654809346029703,2804357358.66,8611528,8611528,750,11468805.3,9163935.1,8883980.055555556,1.5923024523160803,2.3621685173174543,1.5998122084158637,237.29666666666665,13.261054587326928,0.7371809131775587,0.7610517339307452,0.6417965,1.1100141,1.1057929,7.976116589660482,4.382513020578919,4.2069051877508885,2.7219074119672255,0.9464167697289415,0.4103613939054009,0.47110593122388983,0.1968294351853097,0.8427282430810555,254.31,USD,254.31,USD,254.31,USD,254.31,USD,254.31,USD,238.58,USD,238.62,USD,238.62,USD,238.62,USD,238.62,USD,238.62,USD,238.62,USD,238.62,USD,250.25,USD,772181.101295148,USD,238.3999999999998,238.43251250000012,238.04799999999983,237.5420000000002,238.7377096906375,238.19295499999998,237.64820030936247,238.26679010265104,237.33366999999944,236.40054989734784,US46625H1005,0.7610517339307452,2024-10-11,2025-01-15,Buy,250.333333,USD,Buy
V,Visa Inc.,Miscellaneous commercial services,Commercial services,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, KBW NASDAQ Financial Technology Index",622079197466,USD,317.22,USD,317.28,USD,0.05999999999994543,USD,0.01891431813881389,0.01891431813881389,1723566733.8,7984610,7984610,100,8333751.5,6529727.966666667,6543807.733333333,1.4743896601244628,2.165402605245834,1.42299820752559,316.18,33.06648320720495,0.7118230348265384,0.9840752941505901,0.44379652,0.9189649,0.96074724,6.874237668526078,9.229672788188488,7.148723707250754,4.010574441959934,1.02708917151685,0.4543639402653647,0.4066661369694512,0.2547194246210398,0.7731400556695522,321.615,USD,321.615,USD,321.615,USD,321.615,USD,321.615,USD,317.93,USD,317.97,USD,317.97,USD,317.97,USD,317.97,USD,317.97,USD,317.97,USD,317.97,USD,321.615,USD,1136898.7341772201,USD,317.4509999999992,317.5899999999993,317.2519999999985,316.6876923076927,318.0216399643659,317.43325000000004,316.8448600356342,317.48390187008596,316.493069999999,315.5022381299121,US92826C8394,0.9840752941505901,2024-10-29,2025-01-23,Buy,335.941176,USD,Buy
