Symbol,Description,marketCapType,Pre-market Change %,Pre-market Gap %,Market capitalization,Price,Pre-market Open,Industry,Index,Sector,Exchange,Recent earnings date,Upcoming earnings date,Float shares outstanding,Average Volume 10 days,Average Volume 30 days,Average Volume 90 days,Relative Volume 1 day,Relative Volume 5 minutes,Relative Volume 30 minutes,Relative Volume at Time,Analyst Rating,Technical Rating 5 minutes
MP,MP Materials Corp.,Mid caps,0.8308895405669509,2.150537634408591,3339219456.0,20.46,20.9,Other metals/Minerals,"Nasdaq US Small Cap Growth, Russell 3000, Russell 1000, NASDAQ Clean Edge Green Energy",Non-energy minerals,NYSE,2024-11-07,2025-02-20,117210860.811,3468164.4,3391558.7,3254511.4111111113,3.680928854706154,5.18005190554873,1.6371469932221123,4.023865437477343,Buy,Sell
CRDO,Credo Technology Group Holding Ltd,Large caps,0.7959290187891432,0.3131524008350664,12817201414.0,76.64,76.88,Information technology services,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Computer, Mini-Russell 2000",Technology services,NASDAQ,2024-12-02,2025-02-26,135670354.19052,3250912.4,4403064.433333334,3215818.3,1.918285373689091,3.940463861723191,4.509544054306463,2.33738279711762,Strong buy,Strong buy
BB,BlackBerry Limited,Mid caps,0.7334963325183435,2.4449877750611377,2419575306.146757,4.09,4.19,Packaged software,,Technology services,NYSE,2024-12-19,2025-04-02,581550343.903,18927230.000000022,16649093.133333424,11100210.966666676,1.4317751154006864,2.6531340746173564,1.5323642288440933,1.4535775733914824,Buy,Buy
MDGL,"Madrigal Pharmaceuticals, Inc.",Mid caps,0.5891337551821908,1.337240110969116,6996996208.999999,320.81,325.1,Pharmaceuticals: major,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Biotechnology, Mini-Russell 2000",Health technology,NASDAQ,2024-10-31,2025-02-26,18385861.8544,277396.7,319893.36666666664,368044.9888888889,0.6860310819776688,5.823685608072225,3.086895072859301,0.8074805872586088,Strong buy,Strong buy
NEOG,Neogen Corporation,Mid caps,0.5498821681068365,0.9426551453259954,2758567164.0,12.73,12.85,Medical specialties,"NASDAQ Composite, Russell 2000, S&P MidCap 400, Russell 3000, Mini-Russell 2000",Health technology,NASDAQ,2024-10-10,2025-01-10,216149320.66399997,1804388.9,1925679.5,1660412.0333333334,1.07719491271421,9.64239326266393,6.071699491054329,1.1507758931377272,Buy,Strong buy
CRGY,Crescent Energy Company,Mid caps,0.5204944697462595,0.5204944697462595,3888899672.0,15.37,15.45,Integrated oil,"Russell 2000, Russell 3000, Mini-Russell 2000",Energy minerals,NYSE,2024-11-04,2025-03-11,174938622.59584,4107690.4,4115562.5,3498937.7666666666,0.644296478964527,6.46528436280239,5.644637638340585,0.8842195679645121,Strong buy,Strong buy
FLS,Flowserve Corporation,Mid caps,0.5062436719541078,0.9112386095173796,7785369990.0,59.26,59.8,Industrial machinery,"S&P MidCap 400, Russell 3000, Russell 1000",Producer manufacturing,NYSE,2024-10-28,2025-02-25,130788092.4,872282.7,1190126.066666667,1253942.1333333333,2.121639113886548,7.947296559257237,2.7724369848028743,2.6802517284772245,Buy,Strong buy
AN,"AutoNation, Inc.",Mid caps,0.4682351581016256,0.474015839065838,6858396716.999999,172.99,173.81,Specialty stores,"S&P MidCap 400, Russell 3000, Russell 1000",Retail trade,NYSE,2024-10-25,2025-02-13,26021624.7852,395538.7,473217.93333333335,461388.1444444445,1.199313279804968,8.293206137694327,4.010317811425228,1.3135028780904436,Buy,Sell
QS,QuantumScape Corporation,Mid caps,0.4559270516717363,1.671732522796357,3372060694.0,6.58,6.69,Electrical products,"Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Producer manufacturing,NYSE,2024-10-23,2025-02-12,356680317.048,22535963.6,17565753.733333334,11352281.255555555,1.653200073004245,5.425091868757136,1.1458490849253251,1.6929274391553708,Neutral,Sell
X,United States Steel Corporation,Mid caps,0.4552352048558378,0.4248861911987877,7419382784.0,32.95,33.09,Steel,"S&P MidCap 400, Russell 3000, Russell 1000",Non-energy minerals,NYSE,2024-10-31,2025-01-30,222345103.95,10148016.5,7385513.133333334,6879649.677777777,1.5561699183304911,3.537018957833976,3.852555772576953,1.563200470579572,Buy,Strong buy
ATKR,Atkore Inc.,Mid caps,0.4386471199353684,1.1197044903613054,3008115485.0,86.63,87.6,Electrical products,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Producer manufacturing,NYSE,2024-11-21,2025-01-29,34264340.1727,432814.6,633555.5,635879.8333333334,1.2151668532930546,8.359997579034438,4.929530679068002,1.4317490232593535,Buy,Neutral
SHO,"Sunstone Hotel Investors, Inc.",Mid caps,0.3308519437551772,0.3308519437551772,2428896084.0,12.09,12.13,Real estate investment trusts,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Finance,NYSE,2024-11-12,2025-02-25,198446391.582,2012877.1,3213107.2666666666,2602733.2,2.8415019735844367,4.044297596253345,3.003590673918455,4.025826504902992,Neutral,Sell
PARA,Paramount Global,Mid caps,0.2753888380603925,2.2872827081427265,7761376249.000001,10.93,11.18,Broadcasting,"S&P 500, NASDAQ Composite, S&P 500 Communication Services, Russell 3000, Russell 1000, NASDAQ Industrials, S&P 500 ESG",Consumer services,NASDAQ,2024-11-08,2025-02-12,590201554.019,8603401.2,10344777.6,8851536.188888889,0.9000987516652073,5.471196925651622,2.320574474764366,1.0610668754974677,Neutral,Buy
