Symbol,Description,Price,Price - Currency,Industry,Market capitalization,Market capitalization - Currency,Enterprise value,Enterprise value - Currency,Price to sales ratio,"Total revenue, Annual","Total revenue, Annual - Currency","EBITDA, Trailing 12 months","EBITDA, Trailing 12 months - Currency","Revenue per employee, Annual","Revenue per employee, Annual - Currency"
EWTX,"Edgewise Therapeutics, Inc.",34.04,USD,Biotechnology,3192008555.806747,USD,2773388503,USD,,0,USD,-134133999.99999999,USD,0,USD
KYMR,"Kymera Therapeutics, Inc.",49.08,USD,Biotechnology,3129122709.50698,USD,2637857153,USD,39.594810954488935,78592000,USD,-175487000,USD,420278.07486631005,USD
ZLAB,Zai Lab Limited,32.54,USD,Biotechnology,3279837710.00732,USD,2633471710.00732,USD,9.789287090399764,266719000,USD,-335128000,USD,122629.425287356,USD
SRRK,Scholar Rock Holding Corporation,30.43,USD,Biotechnology,2747771502.459044,USD,2578366485,USD,,0,USD,-207145000,USD,0,USD
ARWR,"Arrowhead Pharmaceuticals, Inc.",20.18,USD,Biotechnology,2508682339.356219,USD,2524617117,USD,127.05618383550454,240735000,USD,-529778000,USD,458542.857142857,USD
APGE,"Apogee Therapeutics, Inc.",54.91,USD,Biotechnology,3211449956.1760287,USD,2441048975,USD,,0,USD,-143698000,USD,,
VIMGF,VIMIAN GROUP AB,3.56,USD,Biotechnology,1840635130.1642382,USD,2430707297.333947,USD,5.689661634535687,375779127.99508697,USD,94312506.96000001,USD,341617.38908644277,USD
DYN,"Dyne Therapeutics, Inc.",30.78,USD,Biotechnology,3090336423.674585,USD,2332195384,USD,,0,USD,-269130000,USD,0,USD
CRSP,CRISPR Therapeutics AG,49.71,USD,Biotechnology,4233709262.3595862,USD,2263248085,USD,19.887825055210214,371206000,USD,-311750000,USD,912054.0540540541,USD
PTGX,"Protagonist Therapeutics, Inc.",48.2,USD,Biotechnology,2839200982.619551,USD,2230804673,USD,9.078992097455497,60000000,USD,155610000,USD,535714.285714286,USD
BCRX,"BioCryst Pharmaceuticals, Inc.",8.15,USD,Biotechnology,1686120375.1194968,USD,2221562188,USD,4.293365224625633,331412000,USD,-58849000,USD,618305.9701492541,USD
TWST,Twist Bioscience Corporation,42.52,USD,Biotechnology,2491074941.700493,USD,2176351902,USD,7.996636292808514,245109000,USD,-153201000,USD,266712.731229597,USD
GERN,Geron Corporation,4.22,USD,Biotechnology,2543797109.7832513,USD,2170534826,USD,1933.6155940859426,237000,USD,-226157000,USD,1680.8510638297898,USD
JANX,"Janux Therapeutics, Inc.",54.36,USD,Biotechnology,2835662069.3675346,USD,2163632797,USD,192.25646070337817,8083000,USD,-63864000,USD,126296.875,USD
WVE,Wave Life Sciences Ltd.,14.99,USD,Biotechnology,2322359388.8048444,USD,2121489677,USD,16.938146546146434,113305000.000446,USD,-74898000,USD,422779.85074793303,USD
MRVI,"Maravai LifeSciences Holdings, Inc.",7.21,USD,Biotechnology,1818631250.363248,USD,2098894155,USD,3.4230516359459386,288945000,USD,15804000,USD,444530.769230769,USD
LBPH,"Longboard Pharmaceuticals, Inc.",59.68,USD,Biotechnology,2329252843.84698,USD,2025119521,USD,,0,USD,-72903000,USD,0,USD
ASPHF,ASCENTAGE PHARMA GROUP,6.45,USD,Biotechnology,2013655861.571885,USD,1969731603.1072004,USD,6.328588762005065,31404718.809627883,USD,-35361441.7359,USD,53867.44221205474,USD
VERA,"Vera Therapeutics, Inc.",47.34,USD,Biotechnology,2595541595.6028233,USD,1921315698,USD,,0,USD,-119822000,USD,0,USD
CGON,"CG Oncology, Inc.",37.29,USD,Biotechnology,2501302386.78917,USD,1887737291,USD,,204000,USD,,,3344.26229508197,USD
SWTX,"SpringWorks Therapeutics, Inc.",29.89,USD,Biotechnology,2220020692.0102353,USD,1800116338,USD,25.20695844267044,5447000,USD,-318270000,USD,17859.0163934426,USD
TXG,"10x Genomics, Inc.",15.86,USD,Biotechnology,1910993870.210458,USD,1575801046,USD,2.944024447480184,618727000,USD,-144618000,USD,491443.208895949,USD
PROK,ProKidney Corp.,1.79,USD,Biotechnology,518518639.7085714,USD,1526809631,USD,,0,USD,-150271000,USD,0,USD
SYRE,"Spyre Therapeutics, Inc.",34.4,USD,Biotechnology,1751638688.9744325,USD,1502340778,USD,,886000,USD,-172919000,USD,29533.3333333333,USD
RXRX,"Recursion Pharmaceuticals, Inc.",6.87,USD,Biotechnology,2001642238.412037,USD,1501763893,USD,31.619476786944766,44575000,USD,-366947000,USD,,
RCKT,"Rocket Pharmaceuticals, Inc.",17.49,USD,Biotechnology,1591167887.471831,USD,1297201748,USD,,0,USD,-261075000,USD,0,USD
ANIP,"ANI Pharmaceuticals, Inc.",57.965,USD,Biotechnology,1219637584.378858,USD,1290148115,USD,2.0907216770293506,486816000,USD,105298000,USD,758280.3738317761,USD
IMCR,Immunocore Holdings plc,33.33,USD,Biotechnology,1640577439,USD,1253933438.999999,USD,5.8198247721385625,250394800.77707002,USD,-69468970,USD,503812.476412616,USD
GPCR,Structure Therapeutics Inc.,37.44,USD,Biotechnology,2150010179,USD,1227540769.721633,USD,,0,USD,-121072220,USD,0,USD
SNDX,"Syndax Pharmaceuticals, Inc.",19.21,USD,Biotechnology,1634701061.2565334,USD,1171589736,USD,456.82944107142833,0,USD,-287978000,USD,0,USD
COGT,"Cogent Biosciences, Inc.",11.89,USD,Biotechnology,1301366025.8203843,USD,1079210063,USD,,0,USD,-240804000,USD,0,USD
ZBIO,"Zenas BioPharma, Inc.",21.19,USD,Biotechnology,843200543.6259804,USD,1077954563,USD,,50000000,USD,,,,
SAVA,"Cassava Sciences, Inc.",26.73,USD,Biotechnology,1282402874.5932205,USD,1066476165,USD,,0,USD,-136445000,USD,0,USD
BIOA,"BioAge Labs, Inc.",24.16,USD,Biotechnology,865343165.44,USD,1057219000,USD,,0,USD,,,,
XNCR,"Xencor, Inc.",21.57,USD,Biotechnology,1508330522.5590737,USD,1057143355,USD,9.76719869358918,168338000,USD,-159642000,USD,601207.1428571431,USD
ELVN,"Enliven Therapeutics, Inc.",28.66,USD,Biotechnology,1353818284.307532,USD,1048628865,USD,,0,USD,-97253000,USD,0,USD
NTLA,"Intellia Therapeutics, Inc.",16.34,USD,Biotechnology,1659803870.862696,USD,1035414989,USD,33.64916679356931,36275000,USD,-514178000,USD,68963.8783269962,USD
MESO,Mesoblast Limited,9.11,USD,Biotechnology,953141994.8406,USD,1009104994.8406,USD,158.48845137583186,5902000,USD,-54038260,USD,80849.3150684931,USD
MEOBF,Mesoblast Ltd.,1.03,USD,Biotechnology,1175338619.8102767,USD,1009000250.1375902,USD,160.96659162986714,6003884.990921206,USD,-55081131.335999995,USD,82244.99987563286,USD
