date,company,cik,form
2023-11-13,EntrepreneurShares Series Trust,1495922,25
2023-11-09,BANCO ITAU CHILE,1276671,25
2023-11-06,LINDE PLC,1707925,25
2023-11-06,PyroGenesis Canada Inc.,1743344,25
2023-11-03,"OVERSTOCK.COM, INC",1130713,25
2023-11-01,PARK CITY GROUP INC,50471,25
2023-10-30,Ozon Holdings PLC,1822829,25
2023-10-30,Enthusiast Gaming Holdings Inc. / Canada,1854233,25
2023-10-19,Athena Consumer Acquisition Corp.,1869141,25
2023-10-19,AMERICAN CENTURY ETF TRUST,1710607,25
2023-10-17,"Firsthand Technology Value Fund, Inc.",1495584,25
2023-10-16,10X Capital Venture Acquisition Corp. III,1848948,25
2023-10-12,Boqii Holding Ltd,1815021,25
2023-10-06,RENASANT CORP,715072,25
2023-10-05,FAST Acquisition Corp. II,1839824,25
2023-09-29,Graf Acquisition Corp. IV,1845459,25
2023-09-26,"DoorDash, Inc.",1792789,25
2023-09-25,"COOPER COMPANIES, INC.",711404,25
2023-09-22,"Blue Apron Holdings, Inc.",1701114,25
2023-09-05,BANK OF SOUTH CAROLINA CORP,1007273,25
2023-09-01,illumin Holdings Inc.,1861233,25
2023-08-28,Amerant Bancorp Inc.,1734342,25
2023-08-25,Mobile Infrastructure Corp,1847874,25
2023-08-21,Black Spade Acquisition Co,1851908,25
2023-08-21,First Foundation Inc.,1413837,25
2023-08-18,SEACHANGE INTERNATIONAL INC,1019671,25
2023-08-16,"Aceragen, Inc.",861838,25
2023-08-14,"Mid-Southern Bancorp, Inc.",1734875,25
2023-08-11,Quantum FinTech Acquisition Corp,1830795,25
2023-08-07,ETF Series Solutions,1540305,25
2023-07-31,IDEX Biometrics ASA,1824036,25
2023-07-31,"Shapeways Holdings, Inc.",1784851,25
2023-07-31,Oconee Federal Financial Corp.,1501078,25
2023-07-27,Athena Technology Acquisition Corp. II,1882198,25
2023-07-27,"IronNet, Inc.",1777946,25
2023-07-21,Priveterra Acquisition Corp.,1837607,25
2023-07-17,FISERV INC,798354,25
2023-07-17,Freedom Acquisition I Corp.,1838987,25
2023-07-10,VectivBio Holding AG,1836379,25
2023-07-05,ROPER TECHNOLOGIES INC,882835,25
2023-06-28,HeadHunter Group PLC,1721181,25
2023-06-26,Black Spade Acquisition Co,1851908,25
2023-06-23,BONSO ELECTRONICS INTERNATIONAL INC,846546,25
2023-06-23,"Genius Brands International, Inc.",1355848,25
2023-06-22,EVe Mobility Acquisition Corp,1861121,25
2023-06-09,"Stellar Bancorp, Inc.",1473844,25
2023-06-06,FISERV INC,798354,25
2023-06-01,Kaspien Holdings Inc.,795212,25
2023-06-01,51Talk Online Education Group,1659494,25
2023-05-26,TravelCenters of America Inc. /MD/,1378453,25
2023-05-22,EQUITY BANCSHARES INC,1227500,25
2023-05-19,"Origin Bancorp, Inc.",1516912,25
2023-05-12,ABB LTD,1091587,25
2023-05-08,"IDW MEDIA HOLDINGS, INC.",1463833,25
2023-05-04,"Vyant Bio, Inc.",1349929,25
2023-05-01,SKYDECK ACQUISITION CORP.,1847152,25
2023-05-01,Orion Biotech Opportunities Corp.,1847416,25
2023-05-01,Insight Acquisition Corp. /DE,1862463,25
2023-04-26,MOTIVATING THE MASSES INC,1107796,25
2023-04-24,"Banco Santander Mexico S.A., Institucion de Banca Multiple, Grupo Financiero Santander Mexico",1698287,25
2023-04-20,Northern Lights Fund Trust,1314414,25
2023-04-20,ETF Series Solutions,1540305,25
2023-04-17,PAN AMERICAN SILVER CORP,771992,25
2023-04-13,Industrias Bachoco S.A.B. de C.V.,1044896,25
2023-04-10,Brookfield DTLA Fund Office Trust Investor Inc.,1575311,25
2023-04-10,BlueRiver Acquisition Corp.,1831006,25
2023-04-07,DAVIDsTEA Inc.,1627606,25
2023-04-06,Sio Gene Therapies Inc.,1636050,25
2023-04-04,TITAN MEDICAL INC,840551,25
2023-04-03,Primoris Services Corp,1361538,25
2023-03-29,Catcha Investment Corp,1838293,25
2023-03-28,"Rubius Therapeutics, Inc.",1709401,25
2023-03-27,ObsEva SA,1685316,25
2023-03-23,"ASPEN GROUP, INC.",1487198,25
2023-03-23,Listed Funds Trust,1683471,25
2023-03-20,Loyalty Ventures Inc.,1870997,25
2023-03-20,Jaws Mustang Acquisition Corp,1831359,25
2023-03-20,JATT Acquisition Corp,1855644,25
2023-03-16,Ambrx Biopharma Inc.,1836056,25
2023-03-13,Northern Star Investment Corp. II,1834518,25
2023-03-13,Berenson Acquisition Corp. I,1869673,25
2023-03-06,GUARANTY BANCSHARES INC /TX/,1058867,25
2023-03-06,Williams Rowland Acquisition Corp.,1855168,25
2023-03-01,"Southland Holdings, Inc.",1883814,25
2023-02-24,CANON INC,16988,25
2023-02-24,Bite Acquisition Corp.,1831270,25
2023-02-23,InterPrivate III Financial Partners Inc.,1839610,25
2023-02-23,Adit EdTech Acquisition Corp.,1830029,25
2023-02-22,COHERENT CORP.,820318,25
2023-02-21,Athena Consumer Acquisition Corp.,1869141,25
2023-02-13,"FFBW, Inc. /MD/",1787384,25
2023-02-06,SOUTH JERSEY INDUSTRIES INC,91928,25
2023-02-06,THOR Financial Technologies Trust,1924447,25
2023-02-06,PARTNER COMMUNICATIONS CO LTD,1096691,25
2023-02-06,"Cincinnati Bancorp, Inc.",1787005,25
2023-01-23,CHINA EASTERN AIRLINES CORP LTD,1030475,25
2023-01-23,CHINA SOUTHERN AIRLINES CO LTD,1041668,25
2023-01-20,EXCELLON RESOURCES INC,1263011,25
2023-01-19,Creative Media & Community Trust Corp,908311,25
2023-01-17,Atlantic Union Bankshares Corp,883948,25
2023-01-13,TATA MOTORS LTD/FI,926042,25
2023-01-09,CI Financial Corp.,1829948,25
2023-01-06,AUTOSCOPE TECHNOLOGIES CORP,943034,25
2023-01-03,TUESDAY MORNING CORP/DE,878726,25
2023-01-03,Eagle Bulk Shipping Inc.,1322439,25
2023-01-03,"PS BUSINESS PARKS, INC./MD",866368,25
2022-12-28,Direxion Shares ETF Trust,1424958,25
2022-12-27,Listed Funds Trust,1683471,25
2022-12-27,EA Series Trust,1592900,25
2022-12-27,EA Series Trust,1592900,25
2022-12-27,"Evergy, Inc.",1711269,25
2022-12-27,Listed Funds Trust,1683471,25
2022-12-23,Harbor ETF Trust,1860434,25
2022-12-23,"Rubicon Technology, Inc.",1410172,25
2022-12-23,Social Leverage Acquisition Corp I,1834755,25
2022-12-23,Drive Shack Inc.,1175483,25
2022-12-23,Hoegh LNG Partners LP,1603016,25
2022-12-22,Quotient Ltd,1596946,25
2022-12-21,"Ever-Glory International Group, Inc.",943184,25
2022-12-19,TWILIO INC,1447669,25
2022-12-19,NORTHERN LIGHTS FUND TRUST II,1518042,25
2022-12-16,AMERCO /NV/,4457,25
2022-12-16,CCC Intelligent Solutions Holdings Inc.,1818201,25
2022-12-15,Zymeworks Inc.,1937653,25
2022-12-13,"Live Oak Bancshares, Inc.",1462120,25
2022-12-12,Horizon Acquisition Corp II,1821788,25
2022-12-12,Venus Acquisition Corp,1800392,25
2022-12-02,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",1059142,25
2022-12-01,ETF Series Solutions,1540305,25
2022-11-30,Exchange Listed Funds Trust,1547950,25
2022-11-25,"First Light Acquisition Group, Inc.",1855485,25
2022-11-14,8X8 INC /DE/,1023731,25
2022-11-10,HPX Corp.,1809353,25
2022-11-07,FedNat Holding Co,1069996,25
2022-11-07,PIMCO ETF Trust,1450011,25
2022-11-04,"WisdomTree Investments, Inc.",880631,25
2022-11-04,Sierra Metals Inc.,1705259,25
2022-10-31,Pacer Funds Trust,1616668,25
2022-10-31,Victory Portfolios II,1547580,25
2022-10-27,BOA Acquisition Corp.,1838544,25
2022-10-25,SAFEGUARD SCIENTIFICS INC,86115,25
2022-10-21,Kinetik Holdings Inc.,1692787,25
2022-10-18,Tailwind Acquisition Corp.,1814215,25
