Symbol,Description,marketCapType,marketCapType,Pre-market Change %,Pre-market Gap %,Market capitalization,Price,Pre-market Open,Relative Volume 5 minutes,Industry,yahooPrice,RSI,MA5,MA20,MA50,MACD,Volume,Date
QLYS,"Qualys, Inc.",Mid caps,Mid caps,0.4556893151057523,0.4556893151057523,5379894422.000001,147.03,147.7,9.371668624085284,Packaged software,150.17999267578125,63.13433715680386,145.60799865722657,139.3729995727539,130.72120010375977,5.91246791955993,292600,2024-11-21 00:00:00-05:00
BROS,Dutch Bros Inc.,Mid caps,Mid caps,0.4370961611554618,0.608133789433676,8113575568.999999,52.62,52.94,7.13806887646469,Food: specialty/candy,52.06999969482422,80.11209909990538,49.76600036621094,42.00250015258789,36.89379985809326,4.517515506218302,2559200,2024-11-21 00:00:00-05:00
QFIN,"Qifu Technology, Inc",Mid caps,Mid caps,0.4201418439716297,0.3971631205673774,5436894110.4597,35.25,35.39,7.537477455111027,Finance/Rental/Leasing,35.209999084472656,61.70531115194088,33.167000198364256,32.75025014877319,31.129368896484376,0.47999783347533764,1262800,2024-11-21 00:00:00-05:00
PHIN,PHINIA Inc.,Mid caps,Mid caps,0.3602578687902876,0.3602578687902876,2218149382.0,52.74,52.93,5.160178727473578,Auto parts: OEM,54.189998626708984,70.76838821230743,52.90199966430664,49.694499778747556,47.67739982604981,1.930394821889692,534500,2024-11-21 00:00:00-05:00
LEGN,Legend Biotech Corporation,Mid caps,Mid caps,0.3487792725460901,0.3487792725460901,7363703099.0,40.14,40.28,6.363523562937902,Pharmaceuticals: major,39.75,40.0876845581547,38.779999542236325,41.65549983978271,45.11109992980957,-1.9711654132615948,1760900,2024-11-21 00:00:00-05:00
AEIS,"Advanced Energy Industries, Inc.",Mid caps,Mid caps,0.3430531732418612,0.2618037374740509,4173045304.0,110.77,111.06,5.657999601514246,Electronic production equipment,112.52999877929688,54.604978487795975,110.82999725341797,111.84399909973145,107.53199966430664,1.1040364784983439,155500,2024-11-21 00:00:00-05:00
ALHC,"Alignment Healthcare, Inc.",Mid caps,Mid caps,0.3347280334728111,1.2552301255230156,2290768247.0,11.95,12.1,31.504419078048905,Managed health care,12.100000381469727,50.39928681370913,11.557999992370606,12.477999877929687,11.700100021362305,0.10247721908572416,2243000,2024-11-21 00:00:00-05:00
SITE,"SiteOne Landscape Supply, Inc.",Mid caps,Mid caps,0.3296545793320969,0.3296545793320969,6296168375.0,139.54,140.0,21.380805360310056,Trucks/Construction/Farm machinery,143.13999938964844,48.335184524136814,140.36000061035156,144.85800018310547,145.64620086669922,-0.9699077383784243,278400,2024-11-21 00:00:00-05:00
RHI,Robert Half Inc.,Mid caps,Mid caps,0.3167607767525189,0.3167607767525189,7497046824.000001,72.61,72.84,5.180173033309378,Personnel services,73.69999694824219,58.071009486018895,72.87999877929687,72.26650047302246,68.85500022888183,1.594601206391232,806000,2024-11-21 00:00:00-05:00
SIRI,SiriusXM Holdings Inc.,Mid caps,Mid caps,0.1586671955573151,0.1586671955573151,8551283544.0,25.21,25.25,3.4040326769608535,Broadcasting,25.770000457763672,47.82289181877519,25.413999938964842,26.336751651763915,25.281135787963866,-0.1122594208700356,4629400,2024-11-21 00:00:00-05:00
DXC,DXC Technology Company,Mid caps,Mid caps,0.0014170996693401,0.0,3832288475.0,21.17,21.17,7.573849152796521,Data processing services,21.81999969482422,55.24379052359845,20.61599998474121,21.07150020599365,20.79820007324219,0.1232549442253017,886400,2024-11-21 00:00:00-05:00
