Symbol,Description,Industry,Sector,Exchange,Index,Market capitalization,Market capitalization - Currency,Price,Price - Currency,Pre-market Open,Pre-market Open - Currency,Pre-market Change,Pre-market Change - Currency,Pre-market Change %,Pre-market Gap %,Float shares outstanding,Volume 1 day,Volume 1 week,Pre-market Volume,Average Volume 10 days,Average Volume 30 days,Average Volume 90 days,Volatility 1 day,Volatility 1 week,Volatility 1 month,Volume Weighted Average Price 1 day,Price to earnings ratio,Relative Volume at Time,Relative Volume 1 day,Beta 1 year,Beta 3 years,Beta 5 years,Relative Volume 1 minute,Relative Volume 5 minutes,Relative Volume 15 minutes,Relative Volume 30 minutes,Relative Volume 1 hour,Relative Volume 2 hours,Relative Volume 4 hours,Relative Volume 1 week,Relative Volume 1 month,High 1 month,High 1 month - Currency,High 3 months,High 3 months - Currency,High 6 months,High 6 months - Currency,High 52 weeks,High 52 weeks - Currency,High All Time,High All Time - Currency,High 5 minutes,High 5 minutes - Currency,High 15 minutes,High 15 minutes - Currency,High 30 minutes,High 30 minutes - Currency,High 1 hour,High 1 hour - Currency,High 2 hours,High 2 hours - Currency,High 4 hours,High 4 hours - Currency,High 1 day,High 1 day - Currency,High 1 week,High 1 week - Currency,High 1 month,High 1 month - Currency,"Revenue per employee, Annual","Revenue per employee, Annual - Currency",Simple Moving Average (5) 1 minute,Simple Moving Average (8) 1 minute,Simple Moving Average (5) 5 minutes,Simple Moving Average (13) 5 minutes,"Bollinger Bands (20) 1 minute, Upper","Bollinger Bands (20) 1 minute, Basis","Bollinger Bands (20) 1 minute, Lower","Bollinger Bands (20) 5 minutes, Upper","Bollinger Bands (20) 5 minutes, Basis","Bollinger Bands (20) 5 minutes, Lower",International Securities Identification Number,Relative Volume 1 day,Recent earnings date,Upcoming earnings date,Analyst Rating,Target price 1 year,Target price 1 year - Currency,Technical Rating 5 minutes
GOOGL,Alphabet Inc.,Internet software/Services,Technology services,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG, NASDAQ CB Insights Metaverse US Index",2415616104828,USD,196.66,USD,196.29,USD,0.6200000000000045,USD,0.31526492423472213,-0.1881419709142706,5823437636,44934901,44934901,176896,34967508.40000001,29055278.066666678,26102441.47777778,4.765860242965427,3.10109539050874,2.1992033656555257,196.09333333333336,26.087417921337135,1.2927174420164647,1.3677594513976736,1.0493854,0.9357299,1.012263,4.267086667074435,6.540228360722594,5.613757075841615,2.887048837291417,1.600954856729931,0.9136606130000676,0.6772683575294166,0.3334413727316238,0.6560604448819825,199,USD,199,USD,199,USD,199,USD,199,USD,196.98,USD,197.96,USD,198.09,USD,198.09,USD,198.09,USD,198.94,USD,199,USD,199,USD,199,USD,1683033.6105905701,USD,196.4353600000003,196.54210000000026,197.2520000000007,197.63538461538457,198.52240321184598,197.26048500000005,195.9985667881541,198.48006223860767,197.61828500000013,196.75650776139258,US02079K3059,1.3677594513976736,2024-10-29,2025-02-04,Buy,209.807018,USD,Sell
GOOG,Alphabet Inc.,Internet software/Services,Technology services,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG",2415616104828,USD,198.16,USD,198,USD,0.6400000000000148,USD,0.32297133629391134,-0.08074283407347427,5140842504,32248640,32248640,141775,23562572.099999934,19704009.866666712,18124336.688888904,4.770490958734733,3.077594032932901,2.1479834241243143,197.63666666666666,26.28639649797705,1.5349520839669055,1.4660436892624635,1.0423241,0.92969555,1.0178709,3.388565808912194,6.947427559571608,6.975841255597789,2.445381129810764,1.3005865555256497,0.7463239585383071,0.5316680245372845,0.35493351548548513,0.616692482532407,200.64,USD,200.64,USD,200.64,USD,200.64,USD,200.64,USD,198.43,USD,199.62,USD,199.71,USD,199.71,USD,199.71,USD,200.53,USD,200.64,USD,200.64,USD,200.64,USD,1683033.6105905701,USD,197.9599999999998,198.09187500000007,198.85800000000006,199.22912292307714,200.2229935213476,198.8667900000001,197.51058647865258,200.10597720245846,199.2204299000003,198.33488259754216,US02079K1079,1.4660436892624635,2024-10-29,2025-02-04,Buy,209.696429,USD,Sell
TSLA,"Tesla, Inc.",Motor vehicles,Consumer durables,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Consumer Discretionary, S&P 100, Nasdaq US Large Cap Growth, Russell 1000, NASDAQ Industrials, S&P 500 ESG, NASDAQ Clean Edge Green Energy",1486321860021,USD,463.02,USD,471.79,USD,9.87990000000002,USD,2.133795516392385,1.8940866485249102,2795239996.5,114083811,114083811,2545210,86098397.70000017,99111315.59999989,85495897.4777778,6.19970193740686,5.004136787652029,4.360449676601986,454.11999999999995,126.84089414858646,1.3363103691203582,1.3830241019152658,2.3293064,1.8168627,2.3621492,3.1685766933561235,2.683398000484888,2.3698408985972907,1.450222761329397,0.7158182250048746,0.42932710927733586,0.5801146026912621,0.2547125305518567,0.4776978623896292,463.19,USD,463.19,USD,463.19,USD,463.19,USD,463.19,USD,463.19,USD,463.19,USD,463.19,USD,463.19,USD,463.19,USD,463.19,USD,463.19,USD,463.19,USD,463.19,USD,688908.188762253,USD,462.14897999999977,461.41435000000007,460.66626000000014,460.19267692307824,462.5807127339392,460.55504999999937,458.52938726605953,462.0791414280273,459.6343799999997,457.18961857197206,US88160R1014,1.3830241019152658,2024-10-23,2025-01-22,Neutral,290.250465,USD,Strong buy
WMT,Walmart Inc.,Specialty stores,Retail trade,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 500 Consumer Staples, S&P 100, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, NYSE Arca Major Market, NASDAQ CB Insights Metaverse US Index",762127373749,USD,94.87,USD,94.88,USD,0.030000000000001137,USD,0.03162221987983676,0.0105407399599356,4351076825.36,16741989,16741989,15787,17213774.800000027,17251854.59999999,16119320.200000005,1.7004446106893603,1.6034243957001366,1.5629848312362287,94.89326666666666,38.95938565151329,0.8686314716845147,0.9701636412514903,0.7668527,0.6319441,0.54294735,5.249973220452925,6.929227924555598,4.512188598712328,2.330037595810385,1.261861405738965,0.6597647839108914,0.7581178067403386,0.22869983207640207,0.5386788653689287,96.18,USD,96.18,USD,96.18,USD,96.18,USD,96.18,USD,94.93,USD,94.93,USD,95.05,USD,95.05,USD,95.05,USD,95.4599,USD,95.705,USD,95.705,USD,96.18,USD,308630.952380952,USD,94.80100000000002,94.76687499999997,94.86399999999989,94.94986923076962,94.98348751674321,94.82416000000002,94.66483248325683,95.27353720833138,95.01891500000008,94.76429279166878,US9311421039,0.9701636412514903,2024-11-19,2025-02-20,Strong buy,99.352941,USD,Sell
PG,Procter & Gamble Company (The),Household/Personal care,Consumer non-durables,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 500 Consumer Staples, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, NYSE Arca Major Market",403041843323,USD,171.14,USD,170.99,USD,0.060000000000002274,USD,0.035059016010285306,-0.08764754002569666,2353591650.4,5943680,5943680,1742,5823725.4,6949184.433333334,6665419.455555555,1.0052747702333458,1.3088015198312468,1.3005039841509423,171.67249999999999,29.51707485339772,0.9262195869990546,1.0243861319122234,0.07187579,0.3975833,0.4354566,6.46425733857287,9.352294612804714,6.6014450989394575,4.548998541139265,2.028603484448394,1.1488873809066655,0.9074676210897117,0.17970280671168554,0.46618753786984973,180.43,USD,180.43,USD,180.43,USD,180.43,USD,180.43,USD,171.38,USD,171.55,USD,171.87,USD,171.87,USD,171.87,USD,172.19,USD,172.78,USD,172.78,USD,180.16,USD,778138.888888889,USD,171.19099999999995,171.20134999999993,171.43099999999984,171.57691538461495,171.7560018204933,171.3917649999998,171.02752817950628,171.96625827278237,171.62485999999996,171.28346172721754,US7427181091,1.0243861319122234,2024-10-18,2025-01-22,Buy,183,USD,Sell
BAC/PK,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.875% Non- Cumulative Preferred Stock, Series HH",Major banks,Finance,NYSE,,348885835436,USD,24.94,USD,25.79,USD,0.35999999999999943,USD,1.4434643143544483,3.408179631114666,7659820758.24,50718,50718,200,44158,49727.36666666667,56444.688888888886,0.36130068245684405,0.436237066210179,0.4763077412908163,24.949999999999996,9.0661238140245,1.0991056456120738,1.1692155895411938,0.042648308,0.4664579,0.3876134,1.146788990825688,1.1612234318299637,0.7365799988418553,0.7793923381770146,0.28801725605948797,0.16435392130187482,0.7544619620880136,0.19926897775933786,0.4160839725363417,25.19,USD,25.43,USD,25.43,USD,25.43,USD,28.15,USD,24.92,USD,24.9396,USD,24.9396,USD,24.9396,USD,24.9396,USD,24.9619,USD,25,USD,25,USD,25.19,USD,821610.3286384981,USD,24.912480000000023,24.915249999999986,24.911999999999995,24.91896153846153,24.94437052332944,24.919075000000007,24.893779476670574,24.944069876367088,24.91990999999992,24.89575012363275,US0605051954,1.1692155895411938,,,,,,Neutral
ASML,ASML Holding N.V. - New York Registry Shares,Semiconductors,Electronic technology,NASDAQ,"NASDAQ 100, NASDAQ Composite, PHLX Semiconductor Sector, NASDAQ-100 Technology Sector, NASDAQ Computer, NASDAQ CB Insights Metaverse US Index",284475907940.914,USD,722.38,USD,729.37,USD,19.370000000000005,USD,2.6814142141255304,0.9676347628671903,392628610.537569,1542830,1542830,18439,1376051.5,1776911.5333333334,1810308.7333333334,2.4771143790391483,1.8323654644691756,2.2123786389631435,722.2366666666667,37.862174514654704,0.9766437166134595,1.0608310268201857,2.2932065,1.9037766,1.4839512,2.1972624798711755,3.6370755135600743,4.3397065980671625,2.161626425465152,1.2269008259523553,0.6934732525301661,0.8511026251727565,0.14151927082485335,0.5301943691072405,731,USD,873.6535,USD,1110.09,USD,1110.09,USD,1110.09,USD,723.45,USD,725.92,USD,728.4899,USD,728.4899,USD,728.4899,USD,729.605,USD,731,USD,731,USD,731,USD,702421.830086265,USD,722.7960000000004,723.015,724.5560000000012,726.5077538461562,727.4091306174946,724.2860399999996,721.1629493825046,729.8544489753479,726.5755400000008,723.2966310246538,USN070592100,1.0608310268201857,2024-10-15,2025-01-29,Buy,885.952806,USD,Sell
WFC/PY,"Wells Fargo & Company Depositary Shares, each representing a 1/1,000th interest in a share of Non-Cumulative Perpetual",Major banks,Finance,NYSE,,239656753394,USD,24.54,USD,24.84,USD,0.16000000000000014,USD,0.6519967400163005,1.222493887530565,3324625615.11,43730,43730,200,54673.3,55613.03333333333,66458.72222222222,0.6530612244897965,0.897781052152345,0.7990016128132127,24.566666666666666,5.102189325737571,0.749410093586144,0.7718920445519214,0.31988427,0.5214921,0.41593543,20.410516605166052,6.287341948033903,3.1469504137978994,2.0379086630199716,0.7055714600308303,0.4006101677961439,0.6617540311478446,0.16919315025032694,0.5543611588551851,25.13,USD,25.3591,USD,25.3591,USD,25.3591,USD,27.15,USD,24.59,USD,24.59,USD,24.59,USD,24.59,USD,24.59,USD,24.6,USD,24.66,USD,24.66,USD,24.84,USD,514243.362831858,USD,24.56286,24.564287499999995,24.568860000000058,24.57051538461542,24.60198662813684,24.564334999999993,24.526683371863147,24.605761778814326,24.56717499999997,24.528588221185615,US94988U6560,0.7718920445519214,,,,,,Buy
AZN,AstraZeneca PLC,Pharmaceuticals: major,Health technology,NASDAQ,"NASDAQ 100, NASDAQ Composite, NASDAQ Biotechnology",206897343983.5329,USD,66.23,USD,66.33,USD,0.3999999999999915,USD,0.6039559112184681,0.15098897780461165,3099821431.04,6639776,6639776,13364,5742328.3,7495884.033333333,5266653.6,1.4574837637819114,1.2331824010560306,1.1559956386860009,66.53833333333334,31.82757460714114,1.3374456880931607,1.2189861962964077,0.066053465,0.35287264,0.46532276,2.3557433392888925,4.029162197592659,4.97339649940832,3.365614588003882,1.9710189442664898,1.164003736966647,1.0960486016654991,0.23287277470895587,0.5513036522183206,68.995,USD,79.76,USD,87.675,USD,87.675,USD,87.675,USD,66.3,USD,66.33,USD,66.37,USD,66.37,USD,66.37,USD,66.84,USD,67.175,USD,67.175,USD,68.995,USD,509577.308120133,USD,66.23499999999997,66.23749999999997,66.268,66.37803846153854,66.3286889945693,66.26724999999983,66.20581100543036,66.79508625749627,66.47460999999998,66.1541337425037,US0463531089,1.2189861962964077,2024-11-12,2025-02-06,Buy,86.917913,USD,Sell
LIN,Linde plc,Chemicals: specialty,Process industries,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Materials, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, NASDAQ Industrials, S&P 500 ESG",203938421879,USD,428.3,USD,427.18,USD,0.01999999999998181,USD,0.004669624095256084,-0.2614989493345796,467796189.362,3691695,3691695,204,2298939.4,2103941.3333333335,1676416.8444444444,1.9466086427551983,1.4941522156615281,1.2399504827973042,430.48,32.506565066257835,1.346777313187321,1.7496616859591652,0.5045773,0.8640719,0.9353119,3.3592702654392705,9.287805299601397,9.681450569722056,5.630155816086053,2.460440099071469,1.460027696675579,1.2716703525203528,0.4050861739513514,0.6246394540916758,461.9,USD,487.49,USD,487.49,USD,487.49,USD,487.49,USD,428.32,USD,429.23,USD,429.77,USD,429.77,USD,429.77,USD,432.27,USD,435.73,USD,435.73,USD,461.9,USD,495363.599354673,USD,428.05499999999967,428.2106250000002,428.7630000000011,429.40000000000055,429.45691440812175,428.6250800000008,427.7932455918799,431.4301652919615,429.8065049999997,428.18284470803786,IE000S9YS762,1.7496616859591652,2024-10-31,2025-02-11,Buy,501.212694,USD,Sell
