Symbol,Description,Exchange,Index,Sector,Float shares outstanding,marketCapType,marketCapType,Pre-market Change %,Pre-market Gap %,Market capitalization,Price,Pre-market Open,Relative Volume 5 minutes,Industry,Analyst Rating,Technical Rating 5 minutes,yahooPrice,RSI,MA5,MA20,MA50,Volume,Date
SRAD,Sportradar Group AG,NASDAQ,"NASDAQ Composite, NASDAQ Computer",Technology services,153625076.20438,Mid caps,Mid caps,4.6647230320699755,4.6647230320699755,5113465749.0,17.15,17.95,11.55503751444747,Packaged software,Strong buy,Strong buy,17.600000381469727,65.0425721606349,17.320000076293944,17.339249992370604,14.627800006866455,1019603,2024-12-11 00:00:00-05:00
TMHC,Taylor Morrison Home Corporation,NYSE,"Russell 2000, S&P MidCap 400, Mini-Russell 2000",Consumer durables,100895396.076,Mid caps,Mid caps,3.4725274725274793,1.3040293040293047,7062365993.0,68.25,69.14,11.601541117520735,Homebuilding,Buy,Sell,67.47000122070312,37.97975505919909,68.66799926757812,70.75800018310547,69.82259994506836,674598,2024-12-11 00:00:00-05:00
TFX,Teleflex Incorporated,NYSE,"S&P 500, S&P 500 Health Care, Russell 1000, S&P 500 ESG",Health technology,46323085.7111,Mid caps,Mid caps,3.002358996354275,3.002358996354275,8662685317.999998,186.52,192.12,6.309468234095828,Medical specialties,Buy,Sell,183.6199951171875,31.35130454622731,185.65999755859374,190.10371322631835,211.36448516845704,363363,2024-12-11 00:00:00-05:00
WAY,Waystar Holding Corp.,NASDAQ,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Mini-Russell 2000",Technology services,77977048.44592,Mid caps,Mid caps,2.2415738904987137,0.1067561384779737,5641843437.999999,32.785,32.82,10.818308352039134,Packaged software,Strong buy,Buy,34.02000045776367,76.09429625540628,31.869000244140626,30.99350004196167,29.39779998779297,1515444,2024-12-11 00:00:00-05:00
GTLS,"Chart Industries, Inc.",NYSE,"Russell 2000, S&P MidCap 400, Russell 3000, Mini-Russell 2000",Producer manufacturing,42563309.3532,Mid caps,Mid caps,2.040764264889621,1.4473136193252816,8223147375.000001,192.08,194.86,11.764174006228862,Industrial machinery,Strong buy,Strong sell,197.80999755859375,78.7404936176845,192.39600219726563,183.97150115966798,153.33120040893556,734263,2024-12-11 00:00:00-05:00
