Symbol,Description,Exchange,Index,Sector,Float shares outstanding,marketCapType,marketCapType,Pre-market Change %,Pre-market Gap %,Market capitalization,Price,Pre-market Open,Relative Volume 5 minutes,Industry,Analyst Rating,Technical Rating 5 minutes,yahooPrice,RSI,MA5,MA20,MA50,Volume,Date
RXRX,"Recursion Pharmaceuticals, Inc.",NASDAQ,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Biotechnology, Mini-Russell 2000",Health technology,302388498.33,Mid caps,Mid caps,11.485642946317103,1.4981273408239826,3114122019.0,8.01,8.13,4.678455390364528,Biotechnology,Neutral,Buy,8.270000457763672,64.39048515198348,7.418000221252441,6.784750056266785,6.644100027084351,34239484,2024-12-09 00:00:00-05:00
DXYZ,Destiny Tech100 Inc.,NYSE,,Miscellaneous,9760341.01569,Small caps,Small caps,9.277430865298832,9.753196550698762,731782000.0,67.26,73.82,3.028181969496544,Investment trusts/Mutual funds,,Strong buy,60.040000915527344,69.73706404115393,53.550000762939455,42.248499965667726,24.273799972534178,8043495,2024-12-09 00:00:00-05:00
BTDR,Bitdeer Technologies Group,NASDAQ,"NASDAQ Composite, NASDAQ Computer",Technology services,33912616.7799,Mid caps,Mid caps,6.139933365064251,3.2365540218943347,2936845222.0,21.01,21.69,2.9427166453458065,Data processing services,Strong buy,Sell,20.6299991607666,80.99851451169451,17.89799976348877,13.303499984741212,10.04149998664856,13778630,2024-12-09 00:00:00-05:00
NBIS,Nebius Group N.V.,NASDAQ,,Technology services,155840560.812,Mid caps,Mid caps,5.4392167527875985,5.79276584171878,7329735852.0,36.77,38.9,6.495386982100908,Internet software/Services,,Buy,31.959999084472656,65.0173984747527,32.3060001373291,23.817500114440918,,16456283,2024-12-09 00:00:00-05:00
AI,"C3.ai, Inc.",NYSE,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Technology services,109863455.885,Mid caps,Mid caps,5.010118460019736,3.553800592300093,5005546899.0,40.52,41.96,3.6266828275832217,Packaged software,Neutral,Strong buy,41.68000030517578,79.36895206651562,38.806000518798825,33.894000148773195,28.847000122070312,21030823,2024-12-09 00:00:00-05:00
SITM,SiTime Corporation,NASDAQ,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Computer, Mini-Russell 2000",Electronic technology,18235302.548,Mid caps,Mid caps,3.937381404174571,2.9239261687079527,5417179234.000001,231.88,238.66,7.037993667722046,Semiconductors,Buy,Buy,252.24000549316406,75.00334031856465,229.26800231933595,213.28950119018555,194.20879974365235,339655,2024-12-09 00:00:00-05:00
RNG,"RingCentral, Inc.",NYSE,"ISE CTA Cloud Computing, Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Technology services,78884045.618,Mid caps,Mid caps,2.3638800877406667,0.6580550816475652,3710366607.0,41.03,41.3,5.594466428750617,Packaged software,Buy,Strong buy,41.72999954223633,67.10751013260894,39.619999694824216,37.47649993896484,35.15619995117188,1385387,2024-12-09 00:00:00-05:00
NARI,"Inari Medical, Inc.",NASDAQ,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Health technology,50220502.7324,Mid caps,Mid caps,2.036021926389975,2.5841816758026632,2990435551.0000005,51.08,52.4,5.422177009155646,Medical specialties,Buy,Buy,53.38999938964844,62.80693845219906,51.95600051879883,51.05400009155274,47.34280014038086,1640606,2024-12-09 00:00:00-05:00
