Symbol,Description,Exchange,Index,Sector,Float shares outstanding,marketCapType,marketCapType,Pre-market Change %,Pre-market Gap %,Market capitalization,Price,Pre-market Open,Relative Volume 5 minutes,Industry,Analyst Rating,Technical Rating 5 minutes,yahooPrice,RSI,MA5,MA20,MA50,Volume,Date
SMTC,Semtech Corporation,NASDAQ,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Computer, Mini-Russell 2000",Electronic technology,74291171.4788,Mid caps,Mid caps,19.0119760479042,17.68338323353294,4020148984.0,53.44,62.89,5.227867502163464,Semiconductors,Strong buy,Strong buy,63.11000061035156,76.47971866118947,53.50199966430664,48.930000114440915,46.236600189208986,6871967,2024-11-26 00:00:00-05:00
LIF,"Life360, Inc.",NASDAQ,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Computer, Mini-Russell 2000",Technology services,64766957.1816,Mid caps,Mid caps,3.1796821008984235,3.132918682331275,3218210000.0000005,43.41,44.77,2.0525053218503833,Packaged software,Strong buy,Sell,46.33000183105469,59.006738759341424,43.07800064086914,44.20550022125244,42.46660018920898,638282,2024-11-26 00:00:00-05:00
BHVN,Biohaven Ltd.,NYSE,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Health technology,88451460.88849999,Mid caps,Mid caps,2.8965288525315183,2.8965288525315183,4573759130.999999,45.23,46.5401,8.206485947706602,Pharmaceuticals: major,Strong buy,Sell,47.279998779296875,46.27770743187832,46.023999786376955,48.97800006866455,49.39820014953613,837636,2024-11-26 00:00:00-05:00
HASI,"HA Sustainable Infrastructure Capital, Inc.",NYSE,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000, NASDAQ Clean Edge Green Energy",Finance,116105186.88,Mid caps,Mid caps,2.432610124917812,1.4792899408284,3604146626.000001,30.42,30.87,7.390275799451899,Real estate investment trusts,Strong buy,Buy,30.329999923706055,48.033433842435215,29.279999923706054,30.397500133514406,32.73490833282471,1045556,2024-11-26 00:00:00-05:00
