Symbol,Description,Pre-market Change %,Pre-market Gap %,marketCapType,Market capitalization,Price,Pre-market Open,Industry,Index,Sector,Exchange,Recent earnings date,Upcoming earnings date,Float shares outstanding,Average Volume 10 days,Average Volume 30 days,Average Volume 90 days,Relative Volume 1 day,Relative Volume 5 minutes,Relative Volume 30 minutes,Relative Volume at Time
CRSP,CRISPR Therapeutics AG,0.3329309997988363,0.5632669483001431,Mid caps,4233709130.0,49.71,49.99,Biotechnology,"NASDAQ Composite, Nasdaq US Small Cap Growth, NASDAQ Biotechnology",Health technology,NASDAQ,2024-08-05,2024-10-30,81466108.6824,1117725.9,1091972.7333333334,1177404.1666666667,1.622597735510347,6.720988914405602,4.422153288226523,1.7648794894493585
FUN,Six Flags Entertainment Corporation,0.261220612681072,0.261220612681072,Mid caps,4222639811.0,42.11,42.22,Movies/Entertainment,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Consumer services,NYSE,2024-08-08,2024-11-06,95583885.408,1013595.4,1609734.7,1870636.433333333,1.1040988041412678,6.103519763592838,4.112809164118899,1.303428545346785
IPAR,"Interparfums, Inc.",0.0080379390724259,0.0080379390724259,Mid caps,3984140860.0,124.41,124.42,Household/Personal care,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Industrials, Mini-Russell 2000",Consumer non-durables,NASDAQ,2024-08-06,2024-11-06,18044572.1995,116327.9,146035.8,147946.35555555555,1.117835726519259,2.9999149442885087,3.6871568233561,1.3247965335610237
ADMA,ADMA Biologics Inc,0.0103469263542275,0.0,Mid caps,3829550881.0,16.43,16.43,Biotechnology,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Biotechnology, Mini-Russell 2000",Health technology,NASDAQ,2024-08-08,2024-11-06,225199200.608,3171739.6,6324924.8,4728870.377777778,0.7724253010141497,7.622531261641533,4.230420342653148,0.7674258264320027
TGTX,"TG Therapeutics, Inc.",8.418891170431198,0.6160164271047169,Mid caps,3769943405.0,24.35,24.5,Pharmaceuticals: major,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Health technology,NASDAQ,2024-08-06,2024-11-12,137979496.184,2235911.5,3535772.466666667,3315186.722222222,0.8380815884771391,3.580726948887775,1.84344151846638,0.9347370928974768
ATAT,Atour Lifestyle Holdings Limited,1.6081871345029288,1.535087719298252,Mid caps,3764605750.0,27.36,27.78,Hotels/Resorts/Cruise lines,"NASDAQ Composite, NASDAQ Golden Dragon China, NASDAQ Industrials",Consumer services,NASDAQ,2024-08-29,2024-11-14,107534198.800704,984377.2,1474125.8,1147405.5111111111,1.0116962420810107,6.569347701818644,3.0189187144884784,1.045853819339354
VRN,Veren Inc.,0.4958677685950454,0.0,Mid caps,3737415496.17717,6.05,6.05,Integrated oil,,Energy minerals,NYSE,2024-07-25,2024-10-31,603900608.615,5186754.8,5299890.833333333,3688915.744444444,1.1890431593756814,4.64765479563314,1.384574183885408,1.2373304742461984
CORZ,"Core Scientific, Inc.",0.7042253521126861,2.3943661971830976,Mid caps,3666769903.0,14.2,14.54,Data processing services,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Computer, Mini-Russell 2000",Technology services,NASDAQ,2024-08-07,2024-11-27,220671641.76948,10967596.9,10488043.333333334,12068656.2,1.2301550110495236,3.9464034933827,2.34717922177226,1.23232675444053
RIG,Transocean Ltd (Switzerland),0.2506203473945299,0.4962779156327437,Mid caps,3528145149.9999995,4.03,4.05,Contract drilling,"Russell 2000, Russell 3000, Mini-Russell 2000, PHLX Oil Service Sector",Industrial services,NYSE,2024-07-31,2024-10-30,731024453.76,16857563.8,18545387.466666665,19689970.633333333,1.1441025775477904,3.8191570048382104,3.030339088737653,1.1971521617451786
IPGP,IPG Photonics Corporation,0.9839788066103208,0.9209032420840216,Mid caps,3505803779.0,79.27,80.0,Semiconductors,"NASDAQ Composite, S&P MidCap 400, Russell 3000, Russell 1000, NASDAQ Computer",Electronic technology,NASDAQ,2024-10-29,2025-02-18,25964391.4663,294016.2,272505.4,262254.5111111111,2.598402880950843,4.34886080842736,2.690880434132035,3.599730572280878
