Symbol,Description,Exchange,Index,Sector,Float shares outstanding,marketCapType,marketCapType,Pre-market Change %,Pre-market Gap %,Market capitalization,Price,Pre-market Open,Relative Volume 5 minutes,Industry,Analyst Rating,Technical Rating 5 minutes,yahooPrice,RSI,MA5,MA20,MA50,Volume,Date
MNSO,MINISO Group Holding Limited,NYSE,NASDAQ Golden Dragon China,Retail trade,307296772.542256,Mid caps,Mid caps,8.275862068965525,7.471264367816096,5502260051.212081,17.4,18.7,9.15544372174482,Specialty stores,Buy,Strong buy,18.489999771118164,54.273512147427276,17.29199981689453,18.201999950408936,17.7917999458313,2416800,2024-11-27 00:00:00-05:00
JAZZ,Jazz Pharmaceuticals plc,NASDAQ,"NASDAQ Composite, S&P MidCap 400, Russell 3000, Russell 1000, NASDAQ Biotechnology",Health technology,58205749.3346,Mid caps,Mid caps,7.598338626924014,7.598338626924014,7423219611.0,122.79,132.12,6.156762763940642,Pharmaceuticals: major,Buy,Buy,122.63999938964844,56.494488604744824,124.30799865722656,119.95899963378906,114.43080017089844,270900,2024-11-27 00:00:00-05:00
VNO,Vornado Realty Trust,NYSE,"S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Finance,175647592.78599998,Mid caps,Mid caps,4.569220277335753,0.932030006819724,8386652606.0,43.99,44.4,4.232254815187886,Real estate investment trusts,Neutral,Buy,43.43000030517578,57.27749277256039,42.86599960327148,42.530999755859376,41.40099998474121,1198800,2024-11-27 00:00:00-05:00
CARG,"CarGurus, Inc.",NASDAQ,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Computer, Mini-Russell 2000",Technology services,83656602.19,Mid caps,Mid caps,2.3313219967087258,0.3565551289083998,3781194899.0,36.46,36.59,11.174099397897743,Internet software/Services,Buy,Strong buy,37.63999938964844,74.1472433048066,36.25599975585938,34.783500003814694,32.28580020904541,707000,2024-11-27 00:00:00-05:00
LIF,"Life360, Inc.",NASDAQ,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Computer, Mini-Russell 2000",Technology services,64766957.1816,Mid caps,Mid caps,2.0073386574573706,2.439024390243908,3434680000.0,46.33,47.46,7.030457933972311,Packaged software,Strong buy,Strong buy,49.45000076293945,65.6898013809664,44.52200088500977,44.47300033569336,42.7776001739502,557500,2024-11-27 00:00:00-05:00
VCYT,"Veracyte, Inc.",NASDAQ,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Biotechnology, Mini-Russell 2000",Health technology,76324396.0656,Mid caps,Mid caps,1.5873015873015863,0.3734827264238949,3320084323.0,42.84,43.0,7.773432470709412,Medical specialties,Buy,Strong buy,42.88999938964844,71.59516100815912,41.07199935913086,37.97150001525879,35.38829990386963,822200,2024-11-27 00:00:00-05:00
GENI,Genius Sports Limited,NYSE,,Technology services,188474754.42,Mid caps,Mid caps,1.5353121801432996,1.2282497441146467,2243580514.0000005,9.77,9.89,6.517868104201749,Packaged software,Strong buy,Neutral,9.770000457763672,71.70302789554323,9.37400016784668,8.480000066757203,7.917000026702881,2179200,2024-11-27 00:00:00-05:00
