Ticker,ESTC,ESTC,ESTC,ESTC,ESTC,PLTR,PLTR,PLTR,PLTR,PLTR,SOFI,SOFI,SOFI,SOFI,SOFI
Price,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Date,,,,,,,,,,,,,,,
2019-11-25,79.22000122070312,80.38999938964844,78.94000244140625,79.27999877929688,859700,,,,,,,,,,
2019-11-26,79.47000122070312,80.22000122070312,79.01000213623047,79.25,774700,,,,,,,,,,
2019-11-27,79.9800033569336,80.0,78.41000366210938,79.33000183105469,530900,,,,,,,,,,
2019-11-29,79.41000366210938,80.0199966430664,79.0199966430664,79.6500015258789,238100,,,,,,,,,,
2019-12-02,76.41000366210938,79.69999694824219,74.80000305175781,79.31999969482422,1600200,,,,,,,,,,
2019-12-03,77.77999877929688,77.94999694824219,74.52999877929688,74.56999969482422,1638300,,,,,,,,,,
2019-12-04,78.19999694824219,79.37000274658203,77.4000015258789,78.5,1754500,,,,,,,,,,
2019-12-05,64.22000122070312,67.5,63.63999938964844,66.5,10845700,,,,,,,,,,
2019-12-06,63.84000015258789,65.44000244140625,62.93000030517578,64.54000091552734,2930900,,,,,,,,,,
2019-12-09,62.279998779296875,63.54999923706055,62.02000045776367,63.06999969482422,2749100,,,,,,,,,,
2019-12-10,62.470001220703125,63.04999923706055,61.970001220703125,62.09000015258789,2107500,,,,,,,,,,
2019-12-11,61.9900016784668,62.63999938964844,61.689998626708984,62.380001068115234,2231000,,,,,,,,,,
2019-12-12,61.0099983215332,62.279998779296875,60.099998474121094,61.9900016784668,1836300,,,,,,,,,,
2019-12-13,62.15999984741211,62.54999923706055,60.27000045776367,61.0,1313900,,,,,,,,,,
2019-12-16,62.150001525878906,62.2599983215332,60.619998931884766,62.0,1734300,,,,,,,,,,
2019-12-17,62.41999816894531,62.93000030517578,61.65999984741211,62.369998931884766,1184200,,,,,,,,,,
2019-12-18,63.81999969482422,63.849998474121094,62.31999969482422,62.47999954223633,1172500,,,,,,,,,,
2019-12-19,63.59000015258789,65.11000061035156,63.52000045776367,63.84000015258789,1463900,,,,,,,,,,
2019-12-20,63.13999938964844,64.04000091552734,62.650001525878906,63.790000915527344,1883000,,,,,,,,,,
2019-12-23,64.66999816894531,65.16999816894531,63.15999984741211,63.5,1006300,,,,,,,,,,
2019-12-24,65.04000091552734,65.4800033569336,64.66999816894531,64.7300033569336,566000,,,,,,,,,,
2019-12-26,65.0,65.72000122070312,64.45999908447266,65.0,800100,,,,,,,,,,
2019-12-27,65.0199966430664,65.7300033569336,64.87999725341797,65.0,612900,,,,,,,,,,
2019-12-30,64.04000091552734,65.26000213623047,63.369998931884766,65.0199966430664,933500,,,,,,,,,,
2019-12-31,64.30000305175781,64.97000122070312,63.75,63.95000076293945,501400,,,,,,,,,,
2020-01-02,65.79000091552734,66.9800033569336,64.76000213623047,64.86000061035156,1088900,,,,,,,,,,
