Symbol,Description,Exchange,Index,Sector,Float shares outstanding,marketCapType,marketCapType,Pre-market Change %,Pre-market Gap %,Market capitalization,Price,Pre-market Open,Relative Volume 5 minutes,Industry,Analyst Rating,Technical Rating 5 minutes,yahooPrice,RSI,MA5,MA20,MA50,Volume,Date
CWAN,"Clearwater Analytics Holdings, Inc.",NYSE,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Technology services,177860074.15662998,Mid caps,Mid caps,3.0405405405405355,3.783783783783775,7316731664.0,29.6,30.72,11.383500097474284,Packaged software,Buy,Sell,30.100000381469727,52.80805933355549,29.460000228881835,30.554000186920167,28.484800109863283,1890200,2024-12-12 00:00:00-05:00
JAZZ,Jazz Pharmaceuticals plc,NASDAQ,"NASDAQ Composite, S&P MidCap 400, Russell 3000, Russell 1000, NASDAQ Biotechnology",Health technology,57910065.886,Mid caps,Mid caps,3.0235255135851604,0.6461232604373767,7298078620.0,120.72,121.5,6.064571709878569,Pharmaceuticals: major,Buy,Buy,123.5999984741211,57.57560146529552,121.5720001220703,122.01849899291992,116.83099990844727,749100,2024-12-12 00:00:00-05:00
