Symbol,Description,marketCapType,Pre-market Change %,Pre-market Gap %,marketCapType,Market capitalization,Price,Pre-market Open,Industry,Index,Sector,Exchange,Recent earnings date,Upcoming earnings date,Float shares outstanding,Average Volume 10 days,Average Volume 30 days,Average Volume 90 days,Relative Volume 1 day,Relative Volume 5 minutes,Relative Volume 30 minutes,Relative Volume at Time,Analyst Rating,Technical Rating 5 minutes
BBAR,Banco BBVA Argentina S.A.,Mid caps,4.318418314255993,0.0,Mid caps,4300875537.967514,19.22,19.22,Major banks,,Finance,NYSE,2024-11-20,2025-03-05,204005674.996667,820013.4,821293.3,764996.4666666667,2.713811664583631,2.4866840539249897,1.0606948332356834,2.860577869456984,Buy,Neutral
AMTM,"Amentum Holdings, Inc.",Mid caps,2.607232968881402,5.971404541631615,Mid caps,5785520000.0,23.78,25.2,Aerospace & defense,"S&P 500, S&P 500 Industrials, Russell 3000, Russell 1000",Electronic technology,NYSE,2024-12-16,2025-02-26,135027868.635,1983942.9,1806695.5333333337,,2.1841938010559327,6.517480787187728,3.313660134561665,2.0499028066758327,Buy,Sell
RAMP,"LiveRamp Holdings, Inc.",Mid caps,2.2551745443311835,2.2551745443311835,Mid caps,2112605487.0,32.37,33.1,Packaged software,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Technology services,NYSE,2024-11-06,2025-02-05,63235102.3844,436549.9,546593.2666666667,612735.6666666666,0.905804191770622,15.73994180796629,7.872985716901666,0.799943760430425,Buy,Neutral
QDEL,QuidelOrtho Corporation,Mid caps,2.1897810218977956,2.1897810218977956,Mid caps,2948534681.0,43.84,44.8,Medical specialties,"NASDAQ Composite, Russell 3000, Russell 1000",Health technology,NASDAQ,2024-11-07,2025-02-12,66273205.2759,914460.3,1125053.7,816610.2555555556,1.6992162239670707,6.671447507052306,3.728417277450843,1.7105452043959244,Buy,Strong buy
VRNA,Verona Pharma plc,Mid caps,2.0852858481724477,0.7966260543580211,Mid caps,3492554350.0,42.68,43.02,Pharmaceuticals: major,"NASDAQ Composite, NASDAQ Biotechnology",Health technology,NASDAQ,2024-11-04,2025-02-27,68911582.8387,940231.0,1119550.6333333333,1062444.2333333334,0.9960381424772426,6.8482959300406145,4.933895014898585,1.0600864268305357,Strong buy,Sell
LC,LendingClub Corporation,Mid caps,1.619207146845333,4.410943606923501,Mid caps,2013119674.0,17.91,18.7,Major banks,"Russell 2000, Russell 3000, Mini-Russell 2000, KBW NASDAQ Financial Technology Index",Finance,NYSE,2024-10-23,2025-02-25,108245823.648,1703748.5,1810962.7666666664,1568858.1666666667,5.373990341589994,6.1426173856657895,1.2782881553354255,6.953130097642575,Strong buy,Strong buy
